Date,ship-state,Daily_Demand
2022-03-31,ANDHRA PRADESH,5
2022-03-31,BIHAR,6
2022-03-31,CHANDIGARH,1
2022-03-31,CHHATTISGARH,1
2022-03-31,DELHI,9
2022-03-31,GOA,1
2022-03-31,Gujarat,8
2022-03-31,HARYANA,4
2022-03-31,JHARKHAND,2
2022-03-31,KARNATAKA,18
2022-03-31,KERALA,5
2022-03-31,MADHYA PRADESH,1
2022-03-31,MAHARASHTRA,21
2022-03-31,ODISHA,4
2022-03-31,RAJASTHAN,3
2022-03-31,TAMIL NADU,12
2022-03-31,TELANGANA,5
2022-03-31,TRIPURA,1
2022-03-31,UTTAR PRADESH,17
2022-03-31,UTTARAKHAND,1
2022-03-31,WEST BENGAL,12
2022-04-01,ANDAMAN & NICOBAR,1
2022-04-01,ANDHRA PRADESH,43
2022-04-01,ARUNACHAL PRADESH,3
2022-04-01,ASSAM,20
2022-04-01,BIHAR,20
2022-04-01,CHANDIGARH,5
2022-04-01,CHHATTISGARH,5
2022-04-01,DADRA AND NAGAR,1
2022-04-01,DELHI,57
2022-04-01,Delhi,1
2022-04-01,GOA,6
2022-04-01,Gujarat,36
2022-04-01,HARYANA,35
2022-04-01,HIMACHAL PRADESH,12
2022-04-01,JAMMU & KASHMIR,2
2022-04-01,JHARKHAND,10
2022-04-01,KARNATAKA,150
2022-04-01,KERALA,60
2022-04-01,MADHYA PRADESH,27
2022-04-01,MAHARASHTRA,168
2022-04-01,MANIPUR,3
2022-04-01,MEGHALAYA,4
2022-04-01,NAGALAND,1
2022-04-01,ODISHA,22
2022-04-01,PUDUCHERRY,2
2022-04-01,PUNJAB,12
2022-04-01,RAJASTHAN,25
2022-04-01,Rajasthan,1
2022-04-01,SIKKIM,6
2022-04-01,TAMIL NADU,96
2022-04-01,TELANGANA,85
2022-04-01,TRIPURA,3
2022-04-01,UTTAR PRADESH,66
2022-04-01,UTTARAKHAND,13
2022-04-01,WEST BENGAL,68
2022-04-02,ANDAMAN & NICOBAR,3
2022-04-02,ANDHRA PRADESH,37
2022-04-02,ARUNACHAL PRADESH,1
2022-04-02,ASSAM,21
2022-04-02,BIHAR,19
2022-04-02,CHANDIGARH,1
2022-04-02,CHHATTISGARH,7
2022-04-02,DELHI,66
2022-04-02,GOA,13
2022-04-02,Gujarat,43
2022-04-02,HARYANA,31
2022-04-02,HIMACHAL PRADESH,13
2022-04-02,JAMMU & KASHMIR,5
2022-04-02,JHARKHAND,15
2022-04-02,KARNATAKA,159
2022-04-02,KERALA,70
2022-04-02,MADHYA PRADESH,16
2022-04-02,MAHARASHTRA,172
2022-04-02,MANIPUR,5
2022-04-02,MEGHALAYA,5
2022-04-02,MIZORAM,1
2022-04-02,NAGALAND,1
2022-04-02,New Delhi,1
2022-04-02,ODISHA,23
2022-04-02,Odisha,1
2022-04-02,PUDUCHERRY,3
2022-04-02,PUNJAB,23
2022-04-02,RAJASTHAN,24
2022-04-02,SIKKIM,1
2022-04-02,TAMIL NADU,114
2022-04-02,TELANGANA,70
2022-04-02,TRIPURA,1
2022-04-02,UTTAR PRADESH,101
2022-04-02,UTTARAKHAND,14
2022-04-02,WEST BENGAL,66
2022-04-02,delhi,2
2022-04-02,punjab,1
2022-04-03,ANDAMAN & NICOBAR,5
2022-04-03,ANDHRA PRADESH,45
2022-04-03,ARUNACHAL PRADESH,2
2022-04-03,ASSAM,17
2022-04-03,Arunachal Pradesh,2
2022-04-03,BIHAR,21
2022-04-03,CHANDIGARH,1
2022-04-03,CHHATTISGARH,12
2022-04-03,DADRA AND NAGAR,1
2022-04-03,DELHI,91
2022-04-03,GOA,17
2022-04-03,Gujarat,32
2022-04-03,HARYANA,35
2022-04-03,HIMACHAL PRADESH,5
2022-04-03,JAMMU & KASHMIR,6
2022-04-03,JHARKHAND,17
2022-04-03,KARNATAKA,192
2022-04-03,KERALA,54
2022-04-03,LADAKH,1
2022-04-03,MADHYA PRADESH,35
2022-04-03,MAHARASHTRA,206
2022-04-03,MANIPUR,3
2022-04-03,MEGHALAYA,2
2022-04-03,MIZORAM,2
2022-04-03,NAGALAND,2
2022-04-03,New Delhi,2
2022-04-03,ODISHA,16
2022-04-03,Odisha,1
